食譜名稱,作者,圖片,份數,料理時間,食材,食材數量,料理步驟
"
苦瓜鹹蛋
",Angela Lin,https://img-global.cpcdn.com/recipes/3cca46b60c1bd7c1/751x532cq70/%E8%8B%A6%E7%93%9C%E9%B9%B9%E8%9B%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"辣椒薑蔥花適量
油鹽適量
苦瓜切片
鹹蛋一顆將蛋黃蛋白分開
","



",1.熱鍋放油加入蛋黃2.蛋黃起泡後加入苦瓜炒至上色3.加入辣椒薑蔥花蛋白4.炒香後即可起鍋
"
義式狂水煮魚
",大禹小菜,https://img-global.cpcdn.com/recipes/c012061b3f94c0cd/751x532cq70/%E7%BE%A9%E5%BC%8F%E7%8B%82%E6%B0%B4%E7%85%AE%E9%AD%9A-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"白肉魚1條（魚片也可）
小番茄10顆
濃縮番茄泥10-20克
罐裝醃漬橄欖10顆
木耳1-2片
洋菇5-10顆
去殼蝦10隻
蒜頭2顆
紅蔥頭2顆
辣椒1根
糯米椒1根
黃萊姆1顆
鹽適量
黑胡椒適量
匈牙利紅椒粉適量
綜合香草適量
","















",1.將材料備齊、切好後備用2.將魚先下鍋煎至2面略顯金黃後，推到鍋邊，加入蒜片、紅蔥頭丁、洋蔥丁翻炒出香氣。3.加入番茄泥、切半小番茄、橄欖、辣椒段，倒一點點醃漬的汁增加酸味，倒入30克的水或高湯。稍微移動一下魚讓湯汁能滲到底部，幫助入味及避免燒焦沾鍋4.將洋菇片、木耳片、蝦子擺上，酌量加入鹽、黑胡椒、綜合香料、紅椒粉，萊姆切片裝飾、蓋上蓋子小火燉煮5分鐘5.起鍋享用
"
龍膽石斑魚頭豆腐味噌湯
",Lucia,https://img-global.cpcdn.com/recipes/a6e8c954eba8dfd1/751x532cq70/%E9%BE%8D%E8%86%BD%E7%9F%B3%E6%96%91%E9%AD%9A%E9%A0%AD%E8%B1%86%E8%85%90%E5%91%B3%E5%99%8C%E6%B9%AF-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3-4人
  ","
 30分
      ","龍膽石斑魚頭
豆腐
海芽
味噌
鹽
","1 隻
1 塊
少許
2 大匙
少許
",1.龍膽石斑魚頭洗淨2.鍋中放水煮滾放入薑片、龍膽石斑魚頭，湯滾時放入味噌與豆腐、少許海芽，湯再次滾，加入少許的鹽調味
"
迷你pizza~~氣炸篇
",さ ちこ,https://img-global.cpcdn.com/recipes/9b4e055e7b5a4d12/751x532cq70/%E8%BF%B7%E4%BD%A0pizza%E6%B0%A3%E7%82%B8%E7%AF%87-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3份
  ",Na,"餅皮:
水
砂糖
鹽
奶粉
油
高筋麵粉
酵母
起司
配料
","
160 克
10 克
4 克
6 克
20 克
250 克
3 克


",1.將麵糰分成3等份2.將起司填入(可包，可不包)3.放上喜歡的口味。氣炸170/10
"
蘭姆葡萄夾心餅乾
",Asis  Weng,https://img-global.cpcdn.com/recipes/9ed93cf8fc699427/751x532cq70/%E8%98%AD%E5%A7%86%E8%91%A1%E8%90%84%E5%A4%BE%E5%BF%83%E9%A4%85%E4%B9%BE-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"請參考文章內文🥰
","
","1.💗餅乾體配方：
綠山農場無鹽發酵奶油140g
糖粉70g
室溫蛋1個
過篩低筋麵粉200g
（食用色素/天然色粉少許）2.將綠山農場無鹽發酵奶油室溫軟化，用打蛋器打軟後加入糖粉拌勻，分次加入室溫雞蛋拌勻，（若需調色可在此步驟加入）最後加入低筋麵粉使用刮刀輕柔拌勻即可完成餅乾麵團
將麵團以烘焙紙包覆，桿成5mm扁平狀，冷凍30min後使用喜歡的壓模壓型，以160度放置中下層烤15-18min至邊緣上色即可出爐，放涼備用3.💗內餡配方：
綠山農場無鹽發酵奶油110g
糖粉50g
酒漬葡萄乾50g（可稍微切碎）
蘭姆酒5g4.將綠山農場無鹽發酵奶油使用打蛋器拌軟後，加入糖粉打發至泛白狀，拌入蘭姆酒至均勻後，加入瀝乾的酒漬葡萄乾拌勻
將內餡置入擠花袋中，將已放涼的餅乾體夾入喜好的份量即完成5.💗保存：完成的成品建議密封冷藏或冷凍，一週內食用完風味最佳，因奶油過度軟化的口感不佳，不建議室溫存放，冰冰的吃更好吃😋
因內餡有放酒增添風味，如果想做給小朋友吃可不夾餡，做成壓模餅乾即可，密封室溫保存可放兩週，越早食用風味越佳喔！6.綠山農場乳品在法國已有百年以上歷史，採用諾曼地產地純淨乳源，並取得2019法國農業部金牌殊榮🏆本次教室推薦使用的奶油有兩款包裝，並有250g小包裝（本葡萄乾夾心餅乾配方剛好可用完一包），居家小量製作無負擔👍
✨金色包裝發酵奶油：口感偏清爽
✨紅白包裝發酵奶油：口感濃醇馥郁
可依個人偏好選用：教室推薦餅乾體可選用紅白包裝，展現餅乾濃郁香氣/內餡選用金色的包裝，使奶油霜清爽不厚重✨
兩者絕妙搭配塑造濃厚奶香卻不失輕盈的口感，炎炎夏日最適合的好滋味😋"
"
竹筍粥
",堯媽咪小廚房,https://img-global.cpcdn.com/recipes/a20557cb209b56fd/751x532cq70/%E7%AB%B9%E7%AD%8D%E7%B2%A5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"煮得較軟的白飯
竹筍
梅花肉片
新鮮香菇
蝦仁
青蔥
蒜頭
薑絲
鹽巴
雞粉
白胡椒粉
","適量
適量
適量
6 朵
10 隻
1 支
1 瓣
少許
少許
少許
少許
",1.梅花肉切片、竹筍切條狀、香菇切片、蔥切蔥花、蒜頭切末。2.起油鍋炒香蒜末和蔥白，放下肉片炒香。3.放下竹筍、香菇翻炒，倒入二碗水，煮滾。4.試一下竹筍是否已經煮透，倒入白飯，攪拌均勻，並調整水量。5.放下蝦仁，用鹽巴、雞粉、白胡椒粉調味，蝦仁熟了，撒下蔥綠，即可關火。
"
鍋燒烏龍麵
",Love &Lazy👩‍🍳 ,https://img-global.cpcdn.com/recipes/58ca7568e59e6465/751x532cq70/%E9%8D%8B%E7%87%92%E7%83%8F%E9%BE%8D%E9%BA%B5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"烏龍麵1包
高湯粉1匙
魚板1片
火鍋料30克
水1碗半
沙茶1匙
","





",1.將水和高湯粉煮滾2.下烏龍麵煮滾。放入火鍋料煮。3.放入1匙沙茶。
"
鷹嘴豆蕃茄菠菜湯SopaconGarbanzosyEspinacas
",TOOTS,https://img-global.cpcdn.com/recipes/a404e617f5a69087/751x532cq70/%E9%B7%B9%E5%98%B4%E8%B1%86%E8%95%83%E8%8C%84%E8%8F%A0%E8%8F%9C%E6%B9%AF-sopa-con-garbanzos-y-espinacas-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ",Na,"乾燥鷹嘴豆120公克（煮熟後約260公克）
洋蔥50公克，切成綠豆大小
大蒜1瓣，切片
紅熟蕃茄180公克，切小塊
波菜葉100公克，切小段
雞肉或蔬菜高湯300公克
水煮蛋2顆，去殼切片
鹽適量
現磨黑胡椒粒適量
","








",1.鷹嘴豆浸泡8個小時後，換水煮熟，撈出備用。2.在一個有蓋的厚底鍋中加入初榨橄欖油，以中小火燒熱，倒入洋蔥炒軟，約10分鐘，後倒入大蒜續炒約1-2分鐘。3.鍋中放蕃茄，炒至出水。放入步驟1的鷹嘴豆與高湯同煮，煮滾後轉小火，上蓋，以微火續煮約20分鐘。4.放入菠菜葉煮至熟。以適量鹽與黑胡椒調味。食用時放上水煮蛋切片。
"
紅油抄手
",蠟筆,https://img-global.cpcdn.com/recipes/b6f709aeac2f3152/751x532cq70/%E7%B4%85%E6%B2%B9%E6%8A%84%E6%89%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ","
 15分
      ","餛飩
醬油
烏醋
紅油
蔥花
薑泥
蒜泥
","24 顆
1.5 大匙
0.5 大匙
3 匙



",1.備料2.餛飩煮熟後撈起3.開始調醬 醬油、烏醋、紅油4.加入薑泥、蒜泥增加口感，醬調好之後就可以淋上餛飩了！5.Do Re Mi So~灑上蔥花賣相更好了
"
簡單快速5分番茄生菜
",版圖,https://img-global.cpcdn.com/recipes/07a1b36aeba3cfcb/751x532cq70/%E7%B0%A1%E5%96%AE%E5%BF%AB%E9%80%9F-5%E5%88%86%E7%95%AA%E8%8C%84%E7%94%9F%E8%8F%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1-2人
  ","
 5分
      ","生菜葉少許
彩番茄6-10粒
☆調味料
綜合香料調味粉少許
橄欖油少許
","




",1.美生菜洗淨放入 器皿 中2.彩番茄洗淨 切一半（或不切）， 擺入第1項內 魔法調味鹽 灑些 淋上極少橄欖油 完成! 上班 或是孩子們便當 （容器另外裝）更佳多彩。若是帶便當記得 調味鹽要另外裝免的生水!3.已發佈 食譜 敬請合併參考 希望能幫助找到靈感來源！4.5.6.
"
四季豆炒肉絲
",彭台秀,https://img-global.cpcdn.com/recipes/ab74c3f2770ef019/751x532cq70/%E5%9B%9B%E5%AD%A3%E8%B1%86%E7%82%92%E8%82%89%E7%B5%B2-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 6人
  ","
 15分鐘
      ","四季豆
肉絲
青葱
紅辣椒
","300 g
200 g
1 支
1 支
",1.肉絲加入 1大匙醬油、1大匙地瓜粉抓拌均勻，再加 1大匙冷油拌勻備用。2.四季豆洗淨，撕去兩側筋絲再斜切成絲；青葱分切為葱白段、葱綠段 ；紅辣椒去籽斜切成絲。3.熱鍋熱油先下葱白炒香，下肉絲炒至乾爽，暫推至鍋邊。4.下四季豆略炒，下小半匙鹽、淋 1 匙水，拌炒至四季豆轉色脫生。5.將鍋邊肉絲撥回鍋中，下葱綠段、紅辣椒絲同四季豆拌炒，淋小半匙醬油在鍋邊嗆香拌炒，即可盛盤上桌。
"
蘆筍肉片捲
",凱茜媽咪の廚房,https://img-global.cpcdn.com/recipes/dce941346280f96a/751x532cq70/%E8%98%86%E7%AD%8D%E8%82%89%E7%89%87%E6%8D%B2-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 5人份
  ","
 30分鐘
      ","豬肉片
蘆筍
蔥
太白粉
［調味醬料］
減鹽醬油
味醂
水
","400 克
500 克
2 株
1 茶匙

1/4 杯
1/4 杯
2 湯匙
","1.準備食材和調味醬料。2.蘆筍去除粗梗部位，洗淨備用。蔥洗淨、切蔥花。3.先將調味醬料調好，太白粉加入1湯匙水調和，備用。4.火鍋豬肉片，均勻地包裹住蘆筍。5.捲好的蘆筍肉片捲。6.本食譜使用環保不沾鍋，倒入一點點蔬菜油；備用的蘆筍肉片捲放入鍋，煎至肉片半熟狀態。7.備用的調味料倒入鍋、蓋上鍋蓋，讓肉捲沾著醬汁烹煮5分鐘。8.肉片熟透後，起鍋裝入盤裡。9.以中小火煮沸鍋裡的醬汁，蔥花加入鍋、拌炒一下。10.調好的太白粉水勾芡醬汁、熄火。11.醬汁淋在蘆筍肉片捲。12.清爽可口的料理，美味上桌。13.［小撇步］
*可使用培根取代豬肉片。"
"
蝦仁毛豆燴豆腐
",Claire Yan,https://img-global.cpcdn.com/recipes/c33246bd1881ed93/751x532cq70/%E8%9D%A6%E4%BB%81%E6%AF%9B%E8%B1%86%E7%87%B4%E8%B1%86%E8%85%90-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ",Na,"雞蛋豆腐一盒
蝦7~10隻
熟毛豆適量
醬油1/3碗
味淋1/5碗
水
蒜末
全蛋一顆
","







",1.熱油將雞蛋豆腐煎兩面金黃2.下蒜末放入蝦炒香加入毛豆3.將醬油味淋加水混合後倒入蓋鍋蓋悶煮一下起鍋淋上蛋液即可
"
一二三四五簡單燒排骨
",美國番媽,https://img-global.cpcdn.com/recipes/daf0ab192b05c6a5/751x532cq70/%E4%B8%80%E4%BA%8C%E4%B8%89%E5%9B%9B%E4%BA%94%E7%B0%A1%E5%96%AE%E7%87%92%E6%8E%92%E9%AA%A8-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 4人份
  ","
 25分鐘
      ","聖路易士排骨
米酒
白糖
烏醋
醬油
水
","1 根
1 湯匙
2 湯匙
3 湯匙
4 湯匙
5 湯匙
",1.排骨用剪刀剪斷，約十塊，放入煮鍋中加水蓋過骨再多兩杯水，大火煮滾，直到骨無血水。2.撈出放炒鍋中。3.加入其他材料，開中火，蓋鍋蓋煮8分鐘。4.翻面，蓋鍋蓋再煮8分鐘，開蓋拌匀，直到收汁為止(約2分鐘)。5.上桌。6.請視吃。
"
黑芝麻杏仁餅
",陳詩婷,https://img-global.cpcdn.com/recipes/22e7484aa72b5a0c/751x532cq70/%E9%BB%91%E8%8A%9D%E9%BA%BB%E6%9D%8F%E4%BB%81%E9%A4%85-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,"
 2O分鐘
      ","黑芝麻110克
杏仁粉30克
糖粉60克
奶油60克
雞蛋25克
白芝麻30克
杏仁片50克
","






",1.黑芝麻加杏仁粉攪拌2.糖粉奶油雞蛋攪拌3.最後加入杏仁片白芝麻整形4.整刑之後放冷凍庫三個小時切片烤5.上下火170度烤15分鐘翻面再烤5分鐘
"
漢堡排
",小玉,https://img-global.cpcdn.com/recipes/5896e00eb5bd5a3f/751x532cq70/%E6%BC%A2%E5%A0%A1%E6%8E%92-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 6人份
  ",Na,"豬絞肉
紅蘿蔔
洋蔥
雞蛋
蒜頭
醬油
糖
黑胡椒
","300 克
50 公克
50 公克
1 顆
3 瓣
1.5 T
少許
少許
","1.紅蘿蔔、洋蔥、蒜頭切小碎丁2.起油鍋將蒜頭爆香後,依續放入洋蔥、紅蘿蔔丁，拌炒軟後加入醬油、糖，最後灑上黑胡椒,放涼備用3.將絞肉倒入鋼盆，加入2材料及雞蛋,順時鐘攪拌至絞肉產生黏性4.用雙手相互甩打肉餡，並塑成圓形，放入冷凍庫冷凍即成漢堡肉5.起油鍋將建凍後的漢堡肉放入鍋煎至雙面均呈現金黃色"
"
打拋豬肉食譜/九層塔炒肉
",職業觀光客 Lisa,https://img-global.cpcdn.com/recipes/54b4cb2cc5458a75/751x532cq70/%E6%89%93%E6%8B%8B%E8%B1%AC%E8%82%89%E9%A3%9F%E8%AD%9C-%E4%B9%9D%E5%B1%A4%E5%A1%94%E7%82%92%E8%82%89-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,"
 1道試做成品照
      ","豬絞肉…350g
番茄…1顆
蒜頭…3瓣
辣椒（小）…1條
九層塔…1碗
檸檬…1/8顆
醬油…2匙
蠔油…0.5匙
魚露…1匙
糖…1匙
","









","1.首先把蒜頭切成蒜末，辣椒也切小塊，如果怕辣可以把籽去掉。2.拿出平底鍋，熱油煎豬絞肉，這時候可以把豬絞肉盡量壓平煎。3.絞肉兩面差不多煎熟後就把它撥到旁邊，接著倒入蒜頭末及辣椒末炒香。4.接下來用鏟子把絞肉撥成肉末再跟蒜頭及辣椒炒在一起。5.接著加入切塊的番茄，翻炒至番茄變軟出汁。
然後加入由醬油、蠔油、魚露及糖調製而成的醬汁，稍微拌炒一下並且嘗試味道。6.最後加入九層塔，稍微炒一下，最後加入檸檬汁就可以上桌了～"
"
菜埔肉丸拉麵
",西風羽,https://img-global.cpcdn.com/recipes/282cf64b9abb5121/751x532cq70/%E8%8F%9C%E5%9F%94%E8%82%89%E4%B8%B8%E6%8B%89%E9%BA%B5-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 兩人份
  ","
 一小時
      ","菜埔乾兩條
蒜米六瓣
米酒40克
去皮豬絞肉300克
調料
拉麵一包
菜埔肉丸拉麵
紅燒醬一大匙40克
香腸2條
醋一匙
黑糖1小匙
洋蔥一顆
紅燒獅子頭
香菇炒年糕
青菜一把
水一杯200克
紅燒醬兩匙
紅燒炒年糕
","

















",1.穿燙好的拉麵泡冷開水後瀝乾。豬絞肉穿燙去皮後切丁與調料一起絞碎。絞完手拍成球狀放入沸水滾十分鐘。瀝乾撈起。放入便當盒。2.穿燙香腸後。切大片。在穿燙表面。與紅燒醬一起放入電鍋魯完撈出。部分絞肉球起魯成紅燒口味。洋蔥鋪底在放上黑悠悠的紅燒獅子頭。3.三朵香菇切絲。放入電鍋。煮滾在放入韓式年糕，炒十分鐘拌入青菜。保溫1小時（縮乾水份用）
"
療癒系「小熊地瓜球/QQ蛋」夜市必吃♡
",Popo Huang,https://img-global.cpcdn.com/recipes/1a571482193509b8/751x532cq70/%E7%99%82%E7%99%92%E7%B3%BB%E3%80%8C%E5%B0%8F%E7%86%8A%E5%9C%B0%E7%93%9C%E7%90%83qq%E8%9B%8B%E3%80%8D%E5%A4%9C%E5%B8%82%E5%BF%85%E5%90%83%E2%99%A1-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 20分鐘
      ","地瓜
木薯粉
糖粉
沙拉油
","200 g
100 g
30 g
適量
","1.將地瓜蒸熟後搗成泥後倒入木薯粉攪拌均勻，接著倒入糖粉拌勻後用手揉勻。2.把揉勻的地瓜麵糰捏成小熊頭形狀，一顆大圓球(頭)加上兩顆小圓球(耳朵)。3.熱油後放入地瓜球下去油炸，一開始先用筷子翻動、接著再用鍋鏟不停壓扁它~
即便壓扁地瓜球它還是會澎回來，炸至金黃色即可取出。4.可愛的「小熊地瓜球/QQ蛋」完成囉~~~5.真的真的好可愛呀 ♪
Q彈的滋味跟夜市一模一樣，在家就有逛夜市的感覺啦(笑)"
"
生酮版核桃餅乾
",小翎的生酮飲食實驗室,https://img-global.cpcdn.com/recipes/dea6d794ef500258/751x532cq70/%E7%94%9F%E9%85%AE%E7%89%88%E6%A0%B8%E6%A1%83%E9%A4%85%E4%B9%BE-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 18人份
  ","
 45分鐘
      ","生核桃粉
黃金亞麻子粉
椰奶粉（或奶粉）
羅漢果糖
赤藻糖醇
酪梨油
","300 克
100 克
50 克
30 克
50 克
150 ml
",1.粉末混合均勻2.酪梨油倒入，攪拌均勻3.油麵放入模型4.整平油麵，表面壓入堅果5.烤箱預熱150度，烤30分鐘6.完成
"
溏心蛋&四季豆炒肉絲&蒸地瓜便當
",北美liuliu,https://img-global.cpcdn.com/recipes/7c1369764e34ae80/751x532cq70/%E6%BA%8F%E5%BF%83%E8%9B%8B%E5%9B%9B%E5%AD%A3%E8%B1%86%E7%82%92%E8%82%89%E7%B5%B2%E8%92%B8%E5%9C%B0%E7%93%9C%E4%BE%BF%E7%95%B6-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 15 分鐘
      ","里肌肉絲
醃肉料：醬油1大匙、白胡椒粉1/8小匙、酒1大匙
四季豆
胡蘿蔔
蒜
低鹽醬油
酪梨油
辣椒
鹽
溏心蛋
蒸熟地瓜2條
","250 g

100 g
30 g
2 瓣
1 大匙
1 大匙
1 根
1/8 小匙
1 顆

",1.里肌肉用醃料抓醃5分鐘，四季豆洗淨去頭尾斜切段，胡蘿蔔洗淨去皮切絲、蒜切蒜末、辣椒切段。胡蘿蔔&四季豆汆燙1分鐘。2.熱鍋冷油拌炒里肌肉至肉色變白取出備用，原鍋冷油熱鍋蒜末和辣椒炒香。3.蒜末和辣椒炒香後放入四季豆、胡蘿蔔拌炒勻，放入高湯蓋鍋蓋悶煮2分，最後放里肌肉、鹽拌勻即可。4.最後將地瓜和所有菜放入便當即可。
"
【減醣便當】咖喱肉餅
",凱茜媽咪の廚房,https://img-global.cpcdn.com/recipes/2e28d84655641e44/751x532cq70/%E6%B8%9B%E9%86%A3%E4%BE%BF%E7%95%B6%E5%92%96%E5%96%B1%E8%82%89%E9%A4%85-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 4人份
  ","
 30分鐘
      ","豬絞肉
胡蘿蔔末
木耳末
洋蔥
［調味料］
鹽
減鹽醬油
白胡椒粉
米酒
咖哩粉
","400 克
1/4 杯
1/4 杯
1/2 顆

1 茶匙
1 茶匙
1/2 茶匙
1 茶匙
1 茶匙
",1.準備食材。乾木耳清洗乾淨、泡水，胡蘿蔔削皮、切成小丁，半顆洋蔥切成洋蔥末。預留洋蔥末和胡蘿蔔丁，各1湯匙。2.豬絞肉放入夾鏈袋，先拌入調味料的鹽（鹽幫助絞肉產生蛋白質的黏性）拌勻。3.調味料的咖哩粉、醬油、胡椒、米酒用調理機攪拌、打至產生黏稠狀態，將洋蔥末、胡蘿蔔丁和木耳丁與絞肉混合。然後將豬絞肉，分成8個咖哩肉餅。4.雙手沾水，雙手輪流甩打每一顆肉團；直至肉團表面油亮。5.肉團中間壓凹、然後放入煎鍋，正反兩面各煎3分鐘。壓凹肉餅中心點的作用是：淋醬盛在凹槽，可保持肉餅的滑嫩多汁；還有煎煮過程，肉餅較易煎熟。6.用中小火烹煮、蓋上鍋蓋煎約2分鐘後，翻面續煎約2分鐘，煎至金黃色即可。7.川燙一些青江菜、平鋪在盤裡。煎熟的肉餅，放在青江菜上。8.鍋裡的湯汁，放入預留的洋蔥丁、胡蘿蔔丁，以1茶匙太白粉+1湯匙水調和的太白粉水勾芡；淋在已擺盤的肉餅上。9.色香味俱全的肉餅，上桌享用。
"
糖醋排骨便當
",北美liuliu,https://img-global.cpcdn.com/recipes/113d4b9c4868fdba/751x532cq70/%E7%B3%96%E9%86%8B%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 30分鐘
      ","排骨600g
麵粉
薑8片
糖醋汁:
米酒4大匙
薄鹽醬油4大匙
老抽(深色醬油)
蕃茄醬
糯米醋4大匙
砂糖4大匙
黃瓜
烤熟白芝麻
配菜:
蒸熟南瓜4片
紫高麗泡菜
菠菜
","
2 大匙




1 大匙
2 大匙


1 條
1 小匙


50 g
50 g
",1.排骨用麵粉抓一抓約2分鐘，感覺有點黏手時用流動清洗，將排骨裡面的血水清洗乾淨。2.排骨瀝乾水份，放入電鍋內鍋後倒入攪拌均勻的糖醋汁後，排骨上面放薑片。3.電鍋外鍋用2杯水煮(想吃肉質硬Q些1杯水)煮熟即可，煮好用筷子攪拌盛盤後灑上芝麻。4.黃瓜切片放入滾水煮1分鐘取出，備用。黃瓜片擺盤飾再放糖醋排骨後灑上芝麻也可以當宴客菜喔!5.最後將配菜南瓜和所有菜放入便當即可。PS糖醋排骨要事先煮好，才能縮短烹飪時間喔!
"
老菜脯當歸香菇黑蒜養生雞湯
",魏鈺娟（娟娟廚房創意料理）,https://img-global.cpcdn.com/recipes/f15d90c59307b27c/751x532cq70/%E8%80%81%E8%8F%9C%E8%84%AF%E7%95%B6%E6%AD%B8%E9%A6%99%E8%8F%87%E9%BB%91%E8%92%9C%E9%A4%8A%E7%94%9F%E9%9B%9E%E6%B9%AF-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 10人份
  ",Na,"玉米雞
薑片
當歸
枸杞
香菇
紅棗
黑蒜
枸杞
水
鹽
鮮味精
","1 隻
8 片
1 片
適量
12 朵
12 顆
15 顆
適量
適量
適量
適量
",1.先將雞肉剁成塊狀，洗淨後用滾水川燙，撈起洗淨備用。2.燒鍋水先放入當歸、紅棗劃刀、香菇、老菜脯洗淨切段先放進去熬湯，滾後煮約15分鐘，放入薑片、燙洗過的雞肉，煮20分鐘後再將黑蒜（帶膜）放進去一起煮，煮約20分鐘，調味均勻，關火再放入枸杞，混拌均勻燜10分鐘，即可食用。
"
🇯🇵和風薑汁燒肉~快速美味
",Hayden 嘿燈料理週記,https://img-global.cpcdn.com/recipes/a578eaf207a08869/751x532cq70/%F0%9F%87%AF%F0%9F%87%B5%E5%92%8C%E9%A2%A8%E8%96%91%E6%B1%81%E7%87%92%E8%82%89%E5%BF%AB%E9%80%9F%E7%BE%8E%E5%91%B3-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2~3人份
  ","
 10分鐘
      ","主要食材
豬五花肉片約250克
洋蔥
配料
嫩薑
紅蘿蔔
蔥花
調味料(醬汁)
醬油
米酒
味淋
水100ml
選配材料(依喜好加入)
蒟蒻、板豆腐
七味粉
","
1 盒
1/2 顆

1 支

少許

20 ml
20 ml
20 ml


1 份
適量
",1.洋蔥切絲、紅蘿蔔切絲、蒟蒻or豆腐切條畫刀好入味、薑磨泥、豬肉片對半成好入口的寬度。2.用一個碗混合醬汁材料後加入薑泥備用，沒有嫩薑用一般的薑也可以，份量依自己喜歡的辣度調整即可。3.少許油熱鍋後先下豬肉片和一半量的洋蔥絲，中火翻炒至豬肉片邊緣稍微焦黃有香氣。4.鍋中倒入醬汁和剩下的洋蔥絲、紅蘿蔔絲和喜歡的配料，醬汁滾了之後轉小火蓋鍋悶煮2~3分鐘。起鍋灑上蔥花和七味粉，完成！
"
香煎豆腐肉排
",跟著啾啾一起來炸廚房🤣,https://img-global.cpcdn.com/recipes/497e11908a07cc11/751x532cq70/%E9%A6%99%E7%85%8E%E8%B1%86%E8%85%90%E8%82%89%E6%8E%92-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 6塊
  ",Na,"絞肉300克
板豆腐1塊
洋蔥1/4顆
胡椒鹽適量
五香粉適量
雞蛋2顆
麵粉適量
麵包粉適量
","







",1.絞肉拿出來攪到有點黏性，洋蔥切丁放入，一起攪拌2.豆腐洗乾淨壓碎備用3.將絞肉末、豆腐混合充分攪拌，再加入胡椒鹽和五香粉，再次混合4.加入一顆蛋一起攪散就可以捏形狀了！如果想要更黏一些可以加入適量的麵粉或麵包粉，會變得更黏5.塑形後的肉排依序沾上麵粉->蛋液->麵包粉6.熱油鍋放下去煎，記得要等一下再翻要不然很容易變形喔！煎至金黃色就可以起鍋了7.⚠️火不要開太大，以免表面燒焦裡面沒熟喔
